"sample_id","cleaned_id","species"
"SRR26416948","SRR26416948","Oedulis"
"SRR26416959","SRR26416959","Oedulis"
"SRR26416970","SRR26416970","Oedulis"
"SRR26416995","SRR26416995","Oedulis"
"SRR26416996","SRR26416996","Oedulis"
"SRR26416997","SRR26416997","Oedulis"
"SRR26416998","SRR26416998","Oedulis"
"SRR26416999","SRR26416999","Oedulis"
"SRR26417000","SRR26417000","Oedulis"
"SRR26417001","SRR26417001","Oedulis"
"SRR26417002","SRR26417002","Oedulis"
"SRR26417003","SRR26417003","Oedulis"
"SRR26417006","SRR26417006","Oedulis"
"SRR26417017","SRR26417017","Oedulis"
"SRR26417020","SRR26417020","Oedulis"
"SRR26417021","SRR26417021","Oedulis"
"SRR26417022","SRR26417022","Oedulis"
"SRR26417023","SRR26417023","Oedulis"
"SRR26417024","SRR26417024","Oedulis"
"SRR26417025","SRR26417025","Oedulis"
"SRR26417026","SRR26417026","Oedulis"
"SRR26417027","SRR26417027","Oedulis"
"SRR26417028","SRR26417028","Oedulis"
"SRR26417029","SRR26417029","Oedulis"
"SRR26417030","SRR26417030","Oedulis"
"SRR26417031","SRR26417031","Oedulis"
"SRR26417032","SRR26417032","Oedulis"
"SRR26417033","SRR26417033","Oedulis"
"SRR26417034","SRR26417034","Oedulis"
"SRR26417035","SRR26417035","Oedulis"
"SRR26417036","SRR26417036","Oedulis"
"SRR26417037","SRR26417037","Oedulis"
"SRR26417038","SRR26417038","Oedulis"
"SRR26417039","SRR26417039","Oedulis"
"SRR26417040","SRR26417040","Oedulis"
"SRR26417041","SRR26417041","Oedulis"
"SRR26417043","SRR26417043","Oedulis"
"SRR26417044","SRR26417044","Oedulis"
"SRR26417045","SRR26417045","Oedulis"
"SRR26417046","SRR26417046","Oedulis"
"SRR26417047","SRR26417047","Oedulis"
"SRR26417048","SRR26417048","Oedulis"
"SRR26417053","SRR26417053","Oedulis"
"SRR26417066","SRR26417066","Oedulis"
"SRR26417146","SRR26417146","Oedulis"
"SRR26417173","SRR26417173","Oedulis"
"SRR26417184","SRR26417184","Oedulis"
"SRR26417185","SRR26417185","Oedulis"
"SRR26417186","SRR26417186","Oedulis"
"SRR26417187","SRR26417187","Oedulis"
"SRR26417188","SRR26417188","Oedulis"
"SRR26417189","SRR26417189","Oedulis"
"SRR26417190","SRR26417190","Oedulis"
"SRR26417191","SRR26417191","Oedulis"
"SRR26417192","SRR26417192","Oedulis"
"SRR26417193","SRR26417193","Oedulis"
"SRR26417194","SRR26417194","Oedulis"
"SRR26417195","SRR26417195","Oedulis"
"SRR26417196","SRR26417196","Oedulis"
"SRR26417197","SRR26417197","Oedulis"
"SRR26417198","SRR26417198","Oedulis"
"SRR26417200","SRR26417200","Oedulis"
"SRR26417201","SRR26417201","Oedulis"
"SRR26417202","SRR26417202","Oedulis"
"SRR26417203","SRR26417203","Oedulis"
"SRR26417204","SRR26417204","Oedulis"
"SRR26417205","SRR26417205","Oedulis"
"SRR26417206","SRR26417206","Oedulis"
"SRR26417218","SRR26417218","Oedulis"
"SRR26417257","SRR26417257","Oedulis"
"SRR26417292","SRR26417292","Oedulis"
"SRR26417303","SRR26417303","Oedulis"
"SRR26417313","SRR26417313","Oedulis"
"SRR26417314","SRR26417314","Oedulis"
"SRR26417315","SRR26417315","Oedulis"
"SRR26417316","SRR26417316","Oedulis"
"SRR26417317","SRR26417317","Oedulis"
"SRR26417318","SRR26417318","Oedulis"
"SRR26417319","SRR26417319","Oedulis"
"SRR26417320","SRR26417320","Oedulis"
"SRR26417321","SRR26417321","Oedulis"
"SRR26417323","SRR26417323","Oedulis"
"SRR26417324","SRR26417324","Oedulis"
"SRR26417325","SRR26417325","Oedulis"
"SRR26417326","SRR26417326","Oedulis"
"SRR26417327","SRR26417327","Oedulis"
"SRR26417337","SRR26417337","Oedulis"
"SRR26417338","SRR26417338","Oedulis"
"SRR26417339","SRR26417339","Oedulis"
"SRR26417340","SRR26417340","Oedulis"
"SRR26417341","SRR26417341","Oedulis"
"SRR26417342","SRR26417342","Oedulis"
"SRR26417343","SRR26417343","Oedulis"
"SRR26417344","SRR26417344","Oedulis"
"SRR26417345","SRR26417345","Oedulis"
"SRR26417346","SRR26417346","Oedulis"
"SRR26417347","SRR26417347","Oedulis"
"SRR26417348","SRR26417348","Oedulis"
"SRR26417349","SRR26417349","Oedulis"
"SRR26417350","SRR26417350","Oedulis"
"SRR26417351","SRR26417351","Oedulis"
"SRR26417352","SRR26417352","Oedulis"
"SRR26417353","SRR26417353","Oedulis"
"SRR26417354","SRR26417354","Oedulis"
"SRR26417355","SRR26417355","Oedulis"
"SRR26417356","SRR26417356","Oedulis"
"SRR26417357","SRR26417357","Oedulis"
"SRR26417358","SRR26417358","Oedulis"
"SRR26417359","SRR26417359","Oedulis"
"SRR26417360","SRR26417360","Oedulis"
"SRR26417361","SRR26417361","Oedulis"
"SRR26417362","SRR26417362","Oedulis"
"SRR26417363","SRR26417363","Oedulis"
"SRR26417364","SRR26417364","Oedulis"
"SRR26417365","SRR26417365","Oedulis"
"SRR26417366","SRR26417366","Oedulis"
"SRR26417367","SRR26417367","Oedulis"
"SRR26417368","SRR26417368","Oedulis"
"SRR26417369","SRR26417369","Oedulis"
"SRR26417370","SRR26417370","Oedulis"
"SRR26417371","SRR26417371","Oedulis"
"SRR26417373","SRR26417373","Oedulis"
"SRR26417374","SRR26417374","Oedulis"
"SRR26417375","SRR26417375","Oedulis"
"SRR26417376","SRR26417376","Oedulis"
"SRR26417377","SRR26417377","Oedulis"
"SRR26417378","SRR26417378","Oedulis"
"SRR26417379","SRR26417379","Oedulis"
"SRR26417380","SRR26417380","Oedulis"
"SRR26417381","SRR26417381","Oedulis"
"SRR26417382","SRR26417382","Oedulis"
"SRR26417384","SRR26417384","Oedulis"
"SRR26417444","SRR26417444","Oedulis"
"SRR26417445","SRR26417445","Oedulis"
"SRR26417446","SRR26417446","Oedulis"
"SRR26417447","SRR26417447","Oedulis"
"SRR26417448","SRR26417448","Oedulis"
"SRR26417449","SRR26417449","Oedulis"
"SRR26417450","SRR26417450","Oedulis"
"SRR26417451","SRR26417451","Oedulis"
"SRR26417452","SRR26417452","Oedulis"
"SRR26417453","SRR26417453","Oedulis"
"SRR26417454","SRR26417454","Oedulis"
"SRR26417455","SRR26417455","Oedulis"
"SRR26417456","SRR26417456","Oedulis"
"SRR26417457","SRR26417457","Oedulis"
"SRR26417458","SRR26417458","Oedulis"
"SRR26417459","SRR26417459","Oedulis"
"SRR26417460","SRR26417460","Oedulis"
"SRR26417461","SRR26417461","Oedulis"
"SRR26417462","SRR26417462","Oedulis"
"SRR26417472","SRR26417472","Oedulis"
"SRR26417483","SRR26417483","Oedulis"
"SRR26417491","SRR26417491","Oedulis"
"SRR26417502","SRR26417502","Oedulis"
"SRR26417526","SRR26417526","Oedulis"
"SRR26417588","SRR26417588","Oedulis"
"SRR26417599","SRR26417599","Oedulis"
"SRR26417608","SRR26417608","Oedulis"
"SRR26417619","SRR26417619","Oedulis"
"SRR26417631","SRR26417631","Oedulis"
"SRR26417632","SRR26417632","Oedulis"
"SRR26417633","SRR26417633","Oedulis"
"SRR26417634","SRR26417634","Oedulis"
"SRR26417635","SRR26417635","Oedulis"
"SRR26417636","SRR26417636","Oedulis"
"SRR26417646","SRR26417646","Oedulis"
"SRR26417662","SRR26417662","Oedulis"
"SRR26417673","SRR26417673","Oedulis"
"SRR26417674","SRR26417674","Oedulis"
"SRR26417681","SRR26417681","Oedulis"
"SRR26417692","SRR26417692","Oedulis"
