"SRA accession code","Individual ID","Latitude (°)","Longitude (°)","Collection date","Herbarium/ Collector","Sample age class","Extraction method","Lib prep method","Sequencing platform and chemistry","Spatial group assignment","Population assignmnent","reason if excluded from final analysis","note"
"ERR7446538","K2-1",4525472,"19,91231","2017","Bojan  Konstantinovic","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,"Seeds collected by Bojan Konstantinovic. November 2017. Grown from seeds in TRH greenhouses."
"ERR7446539","ME-E-1",4515784,"-67,28904","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7446540","FR8-19",4421666,"4,26401","2008","François Bretagnolle, Alessia Guggisberg","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446542","MI-2",4635814,"-84,88066","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7446543","MA-A-4",4231109,"-71,16120","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MA Boston","East",NA,NA
"ERR7446544","IA-6",4187498,"-93,48278","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","IA Ames","West",NA,NA
"ERR7446546","MA-A-5",4231109,"-71,16120","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MA Boston","East",NA,NA
"ERR7446588","MA-A-3",4231109,"-71,16120","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MA Boston","East",NA,NA
"ERR7446589","EU2-21-16",5019005,"15,06036","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","CR Prague","Europe",NA,NA
"ERR7446590","KY-29",3862588,"-85,00741","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7446608","MO-A-2019-1",3896843,"-93,87942","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","West",NA,NA
"ERR7446610","MI-B-2019-2",4315405,"-84,503539","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7446611","MI-B-2019-1",4315405,"-84,503539","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7446623","MA-A-8",4231109,"-71,16120","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MA Boston","East",NA,NA
"ERR7446626","EU2-08-4",4593087,"8,98377","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe (Mideast)",NA,NA
"ERR7446633","K16-1",4525472,"19,91231","2017","Bojan  Konstantinovic","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,"Seeds collected by Bojan Konstantinovic. November 2017. Grown from seeds in TRH greenhouses."
"ERR7446639","ME-C-1",4401332,"-70,06944","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7446640","MO-G-1",3666569,"-94,34692","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7446641","KY-14",3862588,"-85,00741","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7446653","IL-2",3923775,"-88,15122","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7446654","MO-A-2019-2",3896843,"-93,87942","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","West",NA,NA
"ERR7446665","MO-B-2018-4",3838635,"-90,25932","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MO St Louis","Mideast",NA,NA
"ERR7446666","MO-B-2018-7",3838635,"-90,25932","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MO St Louis","Mideast",NA,NA
"ERR7446679","MO-B-2018-6",3838635,"-90,25932","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MO St Louis","Mideast",NA,NA
"ERR7446702","K13-1",4525472,"19,91231","2017","Bojan  Konstantinovic","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Europe",NA,"Seeds collected by Bojan Konstantinovic. November 2017. Grown from seeds in TRH greenhouses."
"ERR7446703","MO-B-2018-3",3838635,"-90,25932","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MO St Louis","Mideast",NA,NA
"ERR7446716","NC-10-F",3560699,"-83,02168","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7446722","MO-G-2",3666569,"-94,34692","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","West",NA,NA
"ERR7446748","MO-E-2019-2",36517661,"-90,248998","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7447078","MN2-1",4444716,"-79,80385","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7447157","ME-C-2",4401332,"-70,06944","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7447174","NJ-C-3",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7447176","NH-E-2",4318630,"-71,13989","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7447211","NH-A-1",4289069,"-72,52767","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7447499","NH-E-1",4318630,"-71,13989","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7447502","NJ-C-2",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7447517","NJ-C-8",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7447527","NJ-G-1",4077276,"-74,50439","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7447534","MO-B-2018-5",3838635,"-90,25932","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","MO St Louis","Mideast",NA,NA
"ERR7447760","NJ-C-4",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7447865","NS-A-2018-1",4490880,"-65,17726","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","Nova Scotia West","East",NA,NA
"ERR7447938","OH-1",4048763,"-82,72695","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7447940","NS-A-2018-2",4490880,"-65,17726","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","Nova Scotia West","East",NA,NA
"ERR7447941","MS-3",4208830,"-72,09619","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7447947","OH-B-1",3890957,"-82,72842","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7447993","ON3-7",4532971,"-74,89333","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448012","NS-A-2018-3",4490880,"-65,17726","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","Nova Scotia West","East",NA,NA
"ERR7448022","PA-1",4096589,"-78,17482","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448053","NJ-C-1",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7448100","NB-A-1",4603306,"-65,04093","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast?",NA,NA
"ERR7448102","NC-9D",3560699,"-83,02168","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448103","MO-E-2019-1",36517661,"-90,248998","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7448117","ME-E-2",4515784,"-67,28904","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448167","MN2-3",4444716,"-79,80385","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448182","NJ-C-7",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7448186","MS-1",4208830,"-72,09619","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448214","PA-D-1",4131407,"-75,54015","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448220","NB-A-2",4603306,"-65,04093","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast?",NA,NA
"ERR7448239","NJ-G-2",4077276,"-74,50439","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448262","NJ-C-6",3962068,"-75,50552","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7448263","ON3-8",4532971,"-74,89333","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448288","OH-B-2",3890957,"-82,72842","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448510","PA-5",4096589,"-78,17482","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448731","OH-6",4048763,"-82,72695","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448733","PA-D-2",4131407,"-75,54015","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448734","RI-B-1",4148481,"-71,55799","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448736","SC-K-1",3422524,"-81,34310","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448742","PA-E-1",4020361,"-75,90600","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7448750","PA-F-2",4183220,"-80,11621","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448755","PA-E-2",4020361,"-75,90600","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","PA Philadelphia","East",NA,NA
"ERR7448761","SC-K-2",3422524,"-81,34310","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448785","StGalmier-21",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448786","TN-1",3611943,"-85,05890","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448790","QC-2-17",4688667,"-70,86839","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Quebec","East",NA,NA
"ERR7448793","TN-2019-1",3611943,"-85,05890","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE100","diffuse","Mideast",NA,NA
"ERR7448826","StGalmier-12",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448829","PA-F-1",4183220,"-80,11621","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7448847","RI-B-2",4148481,"-71,55799","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448849","EU2-10-3",4393235,"4,32049","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","BGI","FR Montpellier","Europe (Mideast)",NA,NA
"ERR7448860","StGalmier-7",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","-","-","related to StGalmier-6","Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448872","StGalmier-11",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448878","StGalmier-22",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448881","StGalmier-17",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448886","StGalmier-16",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7448889","QC3-20",4767876,"-69,02200","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East",NA,NA
"ERR7448892","EU2-24-1",4848919,"21,80622","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","BGI","diffuse","Europe (Mideast)",NA,NA
"ERR7450221","TRQB-7",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451245","pop2-1",4540917,"-0,52944","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordeaux","Europe (Mideast)",NA,NA
"ERR7451249","WU-16",4799444,"16,32944","2016","WU","modern herbarium","This study","This study (BEST)","NovaSeq PE100","diffuse","Europe (Mideast)",NA,NA
"ERR7451269","WU-17",4820028,"16,45500","2013","WU","modern herbarium","This study","This study (BEST)","NovaSeq PE100","diffuse","Europe (Mideast)",NA,NA
"ERR7451278","TRQB-4",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451282","WI-3",4487934,"-89,42377","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7451289","pop2-2",4540917,"-0,52944","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordeaux","Europe (Mideast)",NA,NA
"ERR7451305","EU2-10-10",4393235,"4,32049","2014","Lotte A. van Boheemen","modern","This study","This study (BEST)","BGI","FR Montpellier","Europe (Mideast)",NA,NA
"ERR7451315","pop2-3",4540917,"-0,52944","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordeaux","Europe (Mideast)",NA,NA
"ERR7451326","TRQB-10",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451327","SC-1",3479252,"-80,41533","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","East?",NA,NA
"ERR7451336","pop3-1",4547806,"-0,37306","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordeaux","Europe (Mideast)",NA,NA
"ERR7451338","StGalmier-1",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7451343","TRQB-1",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451414","SC-2",3479252,"-80,41533","2009","Michael Martin","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7451419","TRQB-9",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451424","WU-15",4798833,"16,28306","2010","WU","modern herbarium","This study","This study (BEST)","NovaSeq PE100","diffuse","Europe",NA,NA
"ERR7451425","StGalmier-2",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7451437","StGalmier-6",4623520,"8,01545","2017","Bruno Chauvel","modern","This study","This study (BEST)","NovaSeq PE150","FR Lyon 1: St Galmier","Europe (Mideast)",NA,"Collected by Bruno Chauvel. August 2017. Plants collected from 5 locations around St. Galmier, France."
"ERR7451441","TRQB-2",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451447","TRQB-8",4550000,"-72,50000","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","Montreal","East",NA,NA
"ERR7451468","WI-1",4487934,"-89,42377","2013","Kathryn A. Hodgins","modern","This study","This study (BEST)","NovaSeq PE150","diffuse","Mideast",NA,NA
"ERR7451499","pop3-3",4547806,"-0,37306","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordeaux","Europe (Mideast)",NA,NA
"ERR7451586","pop3-2",4547806,"-0,37306","2019","François Bretagnolle","modern","This study","This study (BEST)","NovaSeq PE100","FR Bordeaux","Europe (Mideast)",NA,NA
"ERR7460255","TRH-5",5808278,"6,75278","2007","TRH","modern herbarium","This study","This study (BEST)","NovaSeq PE100","diffuse","Europe (Mideast)",NA,NA
"ERR7460286","TRH-6",6342972,"10,39333","2006","TRH","modern herbarium","This study","This study (BEST)","NovaSeq PE100","diffuse","Europe",NA,NA
