sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN34152202	SRR24138837	Clupea harengus	AF29_Norway_Atlantic_Spring_rg1	2439847400	AF29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN15398089	SRR12106874	Clupea harengus	HGS22_CapeWrath_Atlantic_Autumn_rg3	3491254994	HGS22_CapeWrath	HGS22_CapeWrath
SAMN15398089	SRR12106876	Clupea harengus	HGS22_CapeWrath_Atlantic_Autumn_rg1	28069268280	HGS22_CapeWrath	HGS22_CapeWrath
SAMN15398088	SRR12106878	Clupea harengus	HGS16_Orkney_NorthSea_Autumn_rg3	2829473636	HGS16_Orkney	HGS16_Orkney
SAMN15398086	SRR12106882	Clupea harengus	HGS21_Hebrides_Atlantic_Mixed_rg3	5878488890	HGS21_Hebrides	HGS21_Hebrides
SAMN15398080	SRR12106893	Clupea harengus	HGS19_TeelinBay_Atlantic_Winter_rg2	8398240084	HGS19_TeelinBay	HGS19_TeelinBay
SAMN15398080	SRR12106894	Clupea harengus	HGS19_TeelinBay_Atlantic_Winter_rg1	20274964186	HGS19_TeelinBay	HGS19_TeelinBay
SAMN15398035	SRR12106899	Clupea pallasii	Pacific16_Vancouver_Pacific_rg2	16772346300	Pacific16	Pacific16
SAMN15398075	SRR12106902	Clupea harengus	HGS8_KattegatNorth_Atlantic_Spring_rg1	56006550421	HGS8_KattegatNorth	HGS8_KattegatNorth
SAMN15398072	SRR12106905	Clupea harengus	HGS24_Landvik_Atlantic_Spring_rg2	19440089716	HGS24_Landvik	HGS24_Landvik
SAMN15398072	SRR12106906	Clupea harengus	HGS24_Landvik_Atlantic_Spring_rg1	19713872346	HGS24_Landvik	HGS24_Landvik
SAMN15398071	SRR12106907	Clupea harengus	HGS11_RingkobingFjord_NorthSea_Spring_rg1	32402950862	HGS11_RingkobingFjord	HGS11_RingkobingFjord
SAMN15398069	SRR12106909	Clupea harengus	HGS6_Schlei_Baltic_Spring_rg1	44314678868	HGS6_Schlei	HGS6_Schlei
SAMN15398068	SRR12106911	Clupea harengus	HGS12_BornholmBasin_Baltic_Autumn_rg1	30039395880	HGS12_BornholmBasin	HGS12_BornholmBasin
SAMN15398064	SRR12106915	Clupea harengus	HGS71_Rugen_Baltic_Spring_rg1	34967672609	HGS71_Rugen	HGS71_Rugen
SAMN15398063	SRR12106916	Clupea harengus	HGS4_Riga_Baltic_Autumn_rg1	67118867647	HGS4_Riga	HGS4_Riga
SAMN15398058	SRR12106922	Clupea harengus	Fehmarn6_Fehmarn_Baltic_Autumn_rg1	26348546250	Fehmarn6	Fehmarn6
SAMN15398055	SRR12106925	Clupea harengus	Gavle98_Gavle_Baltic_Autumn_rg1	44921137250	Gavle98	Gavle98
SAMN15398054	SRR12106926	Clupea harengus	Gavle54_Gavle_Baltic_Autumn_rg1	24802706500	Gavle54	Gavle54
SAMN15398052	SRR12106930	Clupea harengus	AAL2_CelticSea_Atlantic_Winter_rg1	6240517430	AAL2_CelticSea	AAL2_CelticSea
SAMN15398034	SRR12106932	Clupea pallasii	Pacific5_Vancouver_Pacific_rg2	17351566200	Pacific5	Pacific5
SAMN15398050	SRR12106934	Clupea harengus	AK3_Downs_Atlantic_Winter_rg2	5808670416	AK3_Downs	AK3_Downs
SAMN15398049	SRR12106937	Clupea harengus	AK2_Downs_Atlantic_Winter_rg1	6684084158	AK2_Downs	AK2_Downs
SAMN15398045	SRR12106945	Clupea harengus	Z4_IsleofMan_Atlantic_Autumn_rg2	8664204840	Z4_IsleofMan	Z4_IsleofMan
SAMN15398042	SRR12106949	Clupea harengus	NorthSea13_NorthSea_Atlantic_Autumn_rg1	15977515250	NorthSea13	NorthSea13
SAMN15398040	SRR12106953	Clupea harengus	NSSH34_Norway_Atlantic_Spring_rg1	6718464442	NSSH34	NSSH34
SAMN15398039	SRR12106955	Clupea harengus	NSSH33_Norway_Atlantic_Spring_rg2	5217257172	NSSH33	NSSH33
SAMN15398039	SRR12106956	Clupea harengus	NSSH33_Norway_Atlantic_Spring_rg1	5257692556	NSSH33	NSSH33
SAMN15398038	SRR12106957	Clupea pallasii	Pacific44_Vancouver_Pacific_rg3	16296992400	Pacific44	Pacific44
SAMN15398038	SRR12106958	Clupea pallasii	Pacific44_Vancouver_Pacific_rg2	16553638500	Pacific44	Pacific44
SAMN15398037	SRR12106961	Clupea pallasii	Pacific35_Vancouver_Pacific_rg2	12800255100	Pacific35	Pacific35
SAMN15398037	SRR12106962	Clupea pallasii	Pacific35_Vancouver_Pacific_rg1	13227622200	Pacific35	Pacific35
SAMN15398036	SRR12106964	Clupea pallasii	Pacific30_Vancouver_Pacific_rg2	7271668200	Pacific30	Pacific30
SAMN15398033	SRR12106965	Clupea pallasii	Pacific3_Vancouver_Pacific_rg2	13890557100	Pacific3	Pacific3
SAMN20114606	SRR15068292	Clupea pallasii	HWS-1_rg1	59430240740	HWS-1	Model organism or animal sample from Clupea pallasii
SAMN20114602	SRR15068296	Clupea pallasii	HWS-4_rg1	41630317351	HWS-4	Model organism or animal sample from Clupea pallasii
SAMN20114601	SRR15068297	Clupea pallasii	HWS-6_rg1	49407736711	HWS-6	Model organism or animal sample from Clupea pallasii
SAMN20114598	SRR15068300	Clupea pallasii	HWS-12_rg1	45529916224	HWS-12	Model organism or animal sample from Clupea pallasii
SAMN20114595	SRR15068304	Clupea pallasii	HWS-23_rg1	41744594166	HWS-23	Model organism or animal sample from Clupea pallasii
SAMN20114591	SRR15068308	Clupea pallasii	HWS-33_rg1	53505098098	HWS-33	Model organism or animal sample from Clupea pallasii
SAMN20114590	SRR15068309	Clupea pallasii	HWS-32_rg1	40505994620	HWS-32	Model organism or animal sample from Clupea pallasii
SAMN20114589	SRR15068310	Clupea pallasii	HWS-31_rg1	51672442506	HWS-31	Model organism or animal sample from Clupea pallasii
SAMN20114587	SRR15068312	Clupea pallasii	HWS-53_rg1	46834512736	HWS-53	Model organism or animal sample from Clupea pallasii
SAMN20114577	SRR15068314	Clupea pallasii	HWS-61_rg1	43131554232	HWS-61	Model organism or animal sample from Clupea pallasii
SAMN33225854	SRR23440842	Clupea pallasii	Herring_760	2282023740	Herring_760	Model organism or animal sample from Clupea pallasii
SAMN33225886	SRR23440846	Clupea pallasii	Herring_793	2350243124	Herring_793	Model organism or animal sample from Clupea pallasii
SAMN33225850	SRR23440847	Clupea pallasii	Herring_756	3035620950	Herring_756	Model organism or animal sample from Clupea pallasii
SAMN33225883	SRR23440850	Clupea pallasii	Herring_790	1507097780	Herring_790	Model organism or animal sample from Clupea pallasii
SAMN33225882	SRR23440851	Clupea pallasii	Herring_789	2151410854	Herring_789	Model organism or animal sample from Clupea pallasii
SAMN33225881	SRR23440852	Clupea pallasii	Herring_788	1777581060	Herring_788	Model organism or animal sample from Clupea pallasii
SAMN33225879	SRR23440854	Clupea pallasii	Herring_786	1883338440	Herring_786	Model organism or animal sample from Clupea pallasii
SAMN33225873	SRR23440861	Clupea pallasii	Herring_780	2892132294	Herring_780	Model organism or animal sample from Clupea pallasii
SAMN33225869	SRR23440865	Clupea pallasii	Herring_776	2560077556	Herring_776	Model organism or animal sample from Clupea pallasii
SAMN33225867	SRR23440867	Clupea pallasii	Herring_774	2358283572	Herring_774	Model organism or animal sample from Clupea pallasii
SAMN33225848	SRR23440869	Clupea pallasii	Herring_754	9347821100	Herring_754	Model organism or animal sample from Clupea pallasii
SAMN33225865	SRR23440870	Clupea pallasii	Herring_772	2957366106	Herring_772	Model organism or animal sample from Clupea pallasii
SAMN33225860	SRR23440875	Clupea pallasii	Herring_767	1240054582	Herring_767	Model organism or animal sample from Clupea pallasii
SAMN33225859	SRR23440876	Clupea pallasii	Herring_766	1692367532	Herring_766	Model organism or animal sample from Clupea pallasii
SAMN33225846	SRR23440881	Clupea pallasii	Herring_752	8398617886	Herring_752	Model organism or animal sample from Clupea pallasii
SAMN34152196	SRR24138620	Clupea harengus	PN3_CentralBaltic_Baltic_Spring_rg11	2915424571	PN3_CentralBaltic_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138623	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg8	3166348225	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138625	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg6	3178304105	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138627	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg4	3219194970	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138630	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg2	3524684925	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152193	SRR24138633	Clupea harengus	PB9_Kattegat_Atlantic_Spring_rg10	3556162518	PB9_Kattegat_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152189	SRR24138637	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg6	2784698838	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152216	SRR24138639	Clupea harengus	BM16_HastKar_Baltic_Spring_rg3	2458013800	BM16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152216	SRR24138640	Clupea harengus	BM16_HastKar_Baltic_Spring_rg2	2584172000	BM16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152215	SRR24138643	Clupea harengus	BM15_HastKar_Baltic_Spring_rg5	2600773800	BM15_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152215	SRR24138644	Clupea harengus	BM15_HastKar_Baltic_Spring_rg4	2432442200	BM15_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152215	SRR24138646	Clupea harengus	BM15_HastKar_Baltic_Spring_rg2	2758426800	BM15_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152215	SRR24138647	Clupea harengus	BM15_HastKar_Baltic_Spring_rg1	2399773800	BM15_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152214	SRR24138652	Clupea harengus	BM14_HastKar_Baltic_Spring_rg1	2019388200	BM14_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152203	SRR24138653	Clupea harengus	AF30_Norway_Atlantic_Spring_rg2	2584237200	AF30_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152213	SRR24138656	Clupea harengus	BF21_HastKar_Baltic_Spring_rg3	2451702400	BF21_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152213	SRR24138657	Clupea harengus	BF21_HastKar_Baltic_Spring_rg2	2589004400	BF21_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152212	SRR24138659	Clupea harengus	BF19_HastKar_Baltic_Spring_rg5	2524021400	BF19_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138676	Clupea harengus	PB5_Galve_Baltic_Spring_rg5	2725676460	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138678	Clupea harengus	PB5_Galve_Baltic_Spring_rg3	2689562675	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138679	Clupea harengus	PB5_Galve_Baltic_Spring_rg2	3009920953	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138681	Clupea harengus	PB5_Galve_Baltic_Spring_rg11	3073883193	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138686	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg7	3399087713	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138687	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg6	3419143301	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138689	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg4	3440338202	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138691	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg2	3803982889	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152192	SRR24138695	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg1	3430970540	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138698	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg9	4381510425	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138701	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg6	4707681575	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138702	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg5	2823942301	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138705	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg3	4504694618	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138708	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg16	2605962420	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138710	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg14	2587988525	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138714	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg10	2464119274	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152217	SRR24138718	Clupea harengus	BM19_HastKar_Baltic_Spring_rg3	2295355800	BM19_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152217	SRR24138720	Clupea harengus	BM19_HastKar_Baltic_Spring_rg1	2076059800	BM19_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152189	SRR24138723	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg4	2796841203	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152202	SRR24138725	Clupea harengus	AF29_Norway_Atlantic_Spring_rg3	2659817000	AF29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152189	SRR24138730	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg10	3133014184	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
SAMN34152198	SRR24138731	Clupea harengus	PB7_Galve_Baltic_Autumn_rg9	3300941691	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152198	SRR24138732	Clupea harengus	PB7_Galve_Baltic_Autumn_rg8	2771195863	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152198	SRR24138738	Clupea harengus	PB7_Galve_Baltic_Autumn_rg3	2758585803	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152198	SRR24138741	Clupea harengus	PB7_Galve_Baltic_Autumn_rg11	3171211415	PB7_Galve_Baltic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138743	Clupea harengus	PB6_Galve_Baltic_Summer_rg9	3606660808	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138745	Clupea harengus	PB6_Galve_Baltic_Summer_rg7	3039274384	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138746	Clupea harengus	PB6_Galve_Baltic_Summer_rg6	3054784052	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138750	Clupea harengus	PB6_Galve_Baltic_Summer_rg3	3034226710	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138754	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg3	2495556630	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152204	SRR24138757	Clupea harengus	AF31_Norway_Atlantic_Spring_rg3	2572698600	AF31_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138761	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg8	2917359734	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138763	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg6	2951990901	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138767	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg2	3283981239	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138769	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg1	3221766824	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138770	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg11	3396679278	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152194	SRR24138771	Clupea harengus	PB11_Kalmar_Baltic_Spring_rg10	3339050528	PB11_Kalmar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152192	SRR24138774	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg7	3113833624	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152192	SRR24138776	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg5	3144128709	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152211	SRR24138779	Clupea harengus	BF18_HastKar_Baltic_Spring_rg3	2928517400	BF18_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152211	SRR24138780	Clupea harengus	BF18_HastKar_Baltic_Spring_rg2	3087424800	BF18_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152211	SRR24138781	Clupea harengus	BF18_HastKar_Baltic_Spring_rg1	2686321000	BF18_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152210	SRR24138782	Clupea harengus	BF16_HastKar_Baltic_Spring_rg5	2207138200	BF16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152210	SRR24138785	Clupea harengus	BF16_HastKar_Baltic_Spring_rg2	2354946000	BF16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152210	SRR24138786	Clupea harengus	BF16_HastKar_Baltic_Spring_rg1	2033570400	BF16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152209	SRR24138791	Clupea harengus	AM8_Norway_Atlantic_Spring_rg2	2419403400	AM8_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152209	SRR24138792	Clupea harengus	AM8_Norway_Atlantic_Spring_rg1	2098952400	AM8_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152208	SRR24138794	Clupea harengus	AM33_Norway_Atlantic_Spring_rg4	2076806600	AM33_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152207	SRR24138799	Clupea harengus	AM29_Norway_Atlantic_Spring_rg5	2323210400	AM29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152207	SRR24138800	Clupea harengus	AM29_Norway_Atlantic_Spring_rg4	2185234800	AM29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152207	SRR24138801	Clupea harengus	AM29_Norway_Atlantic_Spring_rg3	2344296600	AM29_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152191	SRR24138815	Clupea harengus	PB2_Iceland_Atlantic_Spring_rg2	3399755593	PB2_Iceland_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152191	SRR24138818	Clupea harengus	PB2_Iceland_Atlantic_Spring_rg10	3463362603	PB2_Iceland_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152201	SRR24138821	Clupea harengus	PB1_HastKar_Baltic_Spring_rg8	2635517294	PB1_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152201	SRR24138822	Clupea harengus	PB1_HastKar_Baltic_Spring_rg7	2645362418	PB1_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152195	SRR24138833	Clupea harengus	PB12_Karlskrona_Baltic_Spring_rg8	2469140827	PB12_Karlskrona_Baltic_Spring	Model organism or animal sample from Clupea harengus
